Pose Estimation Results
Timestamp,2025-08-13 22:24:13
Global RMSE (pixels),13.953213
Global Mean Error (pixels),10.941944
Total Markers,318

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000014_20250813_194633_299.jpg,98,6.962913,6.512500,-0.186404,-0.034442,0.733278,-14.608,-169.849,-25.094
image_000014_20250813_194633_299.jpg,124,2.561039,2.366405,-0.110417,0.132780,0.649249,-106.489,130.306,3.781
image_000014_20250813_194633_299.jpg,40,11.703192,11.541625,-0.125152,-0.165734,0.904992,-10.663,-164.153,13.429
image_000014_20250813_194633_299.jpg,23,3.279049,3.228680,0.008319,0.068575,0.728284,13.857,174.554,22.793
image_000014_20250813_194633_299.jpg,203,3.926005,3.788018,0.173858,0.109962,0.767480,14.173,176.090,23.289
image_000014_20250813_194633_299.jpg,62,1.894227,1.676573,0.116929,-0.056556,0.742888,-165.690,12.919,44.602
image_000011_20250813_194630_199.jpg,124,6.599564,5.844176,-0.032598,0.142701,0.682334,-108.999,115.616,48.318
image_000011_20250813_194630_199.jpg,203,5.874863,5.433261,0.247199,0.154308,0.761931,-10.509,-171.966,-21.224
image_000011_20250813_194630_199.jpg,23,6.677170,5.375295,0.105505,0.116290,0.866376,9.042,159.957,18.238
image_000011_20250813_194630_199.jpg,98,25.868050,25.860266,-0.571772,-0.028055,5.638204,-4.736,-156.107,-32.280
image_000011_20250813_194630_199.jpg,62,22.341187,22.139917,1.063440,0.048952,4.303079,-156.669,5.466,4.034
image_000011_20250813_194630_199.jpg,40,22.572283,22.539528,0.001188,-0.478354,5.073212,-5.083,-151.575,-36.789
image_000013_20250813_194632_267.jpg,124,6.438184,6.332609,-0.123933,0.141078,0.653026,111.141,-116.636,-23.696
image_000013_20250813_194632_267.jpg,98,13.073250,12.528797,-0.227206,-0.025737,0.902970,-8.091,-149.253,-25.116
image_000013_20250813_194632_267.jpg,23,13.830240,13.800101,-0.003910,0.132505,1.099021,-8.180,-163.459,-27.048
image_000013_20250813_194632_267.jpg,203,4.053211,3.952322,0.153758,0.134163,0.728116,-11.999,-176.605,-21.412
image_000013_20250813_194632_267.jpg,40,8.944571,8.890577,-0.134833,-0.137570,0.988775,-9.113,-160.744,-31.552
image_000013_20250813_194632_267.jpg,62,6.617315,6.372527,0.138757,-0.027586,1.005400,-179.571,11.470,2.561
