Pose Estimation Results
Timestamp,2025-08-13 22:20:24
Global RMSE (pixels),1358295203840.000000
Global Mean Error (pixels),38514245632.000000
Total Markers,311

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000014_20250813_194633_299.jpg,98,0.314148,0.187972,-0.161295,-0.029775,0.634600,13.458,176.521,-15.213
image_000014_20250813_194633_299.jpg,124,0.471755,0.266996,-0.112315,0.135013,0.660715,115.003,-137.266,12.147
image_000014_20250813_194633_299.jpg,40,0.523809,0.262536,-0.091727,-0.121255,0.660465,11.691,174.263,-4.310
image_000014_20250813_194633_299.jpg,23,1.368350,1.082147,0.008345,0.065348,0.685255,12.326,177.728,14.785
image_000014_20250813_194633_299.jpg,203,0.534125,0.269736,0.163193,0.103263,0.718465,13.768,168.415,0.182
image_000014_20250813_194633_299.jpg,62,0.669804,0.353127,0.111880,-0.054571,0.713116,171.995,-12.089,19.215
image_000011_20250813_194630_199.jpg,124,0.130792,0.077874,-0.033276,0.145423,0.694967,108.471,-115.511,43.272
image_000011_20250813_194630_199.jpg,203,0.367360,0.196097,0.244431,0.152563,0.753819,5.634,162.380,-42.057
image_000011_20250813_194630_199.jpg,23,0.722039,0.426608,0.091088,0.100227,0.744673,-10.576,-158.843,-18.652
image_000011_20250813_194630_199.jpg,98,0.253893,0.127609,-0.078370,-0.004013,0.770661,5.310,164.584,-39.133
image_000011_20250813_194630_199.jpg,62,1.037177,0.965647,0.212993,0.010307,0.862670,-152.014,13.576,43.389
image_000011_20250813_194630_199.jpg,40,0.323932,0.164127,-0.000016,-0.078580,0.831547,4.254,166.126,-37.291
image_000013_20250813_194632_267.jpg,124,11.827217,11.271997,-0.103423,0.114338,0.530304,-91.991,81.408,-36.084
image_000013_20250813_194632_267.jpg,98,0.631823,0.317072,-0.173446,-0.019874,0.688029,8.465,170.531,-24.139
image_000013_20250813_194632_267.jpg,23,1.065314,0.782015,-0.002510,0.083733,0.696707,-10.612,-177.134,8.590
image_000013_20250813_194632_267.jpg,203,0.322467,0.161540,0.151129,0.131862,0.715318,8.761,165.702,-29.840
image_000013_20250813_194632_267.jpg,40,0.238656,0.120410,-0.100420,-0.102471,0.736832,8.184,166.155,-21.744
image_000013_20250813_194632_267.jpg,62,94.442368,68.693954,0.020851,-0.004794,0.148609,111.147,-2.148,52.300
image_000052_20250813_194712_062.jpg,124,0.309798,0.158227,-0.083091,0.145400,0.786103,104.443,-113.747,39.200
image_000052_20250813_194712_062.jpg,203,0.296351,0.257070,0.198182,0.138678,0.821984,7.952,172.490,-47.757
image_000052_20250813_194712_062.jpg,23,0.240002,0.120687,0.042211,0.093093,0.818777,7.468,167.622,-49.468
image_000052_20250813_194712_062.jpg,98,0.446241,0.223323,-0.128211,-0.001998,0.854811,6.114,169.433,-44.886
image_000052_20250813_194712_062.jpg,62,0.637103,0.618951,0.160916,-0.002475,0.921957,161.806,-8.662,0.106
image_000052_20250813_194712_062.jpg,40,0.434281,0.220139,-0.050458,-0.080561,0.908199,6.316,172.850,-33.248
image_000047_20250813_194706_922.jpg,40,2.643806,2.498030,-0.053494,-0.142060,0.679661,10.411,152.295,-4.193
image_000047_20250813_194706_922.jpg,98,0.215681,0.114240,-0.138630,-0.066914,0.734866,-5.943,-177.157,-13.314
image_000047_20250813_194706_922.jpg,124,2.908900,2.497400,-0.100609,0.100425,0.759136,108.342,-117.679,-9.365
image_000047_20250813_194706_922.jpg,62,0.713201,0.508594,0.147199,-0.073274,0.787584,-171.214,5.312,15.570
image_000047_20250813_194706_922.jpg,23,4.849271,4.541550,0.022553,0.034323,0.653075,-7.267,-146.692,-32.271
image_000047_20250813_194706_922.jpg,203,1.565996,1.452929,0.182657,0.090174,0.798828,-2.688,-148.386,37.280
image_000044_20250813_194703_822.jpg,124,0.467954,0.355752,-0.126559,0.133560,0.757937,106.395,-123.874,27.178
image_000044_20250813_194703_822.jpg,203,0.606715,0.569802,0.152619,0.102810,0.768598,-17.942,-155.563,-11.573
image_000044_20250813_194703_822.jpg,23,0.378966,0.192575,-0.002371,0.066060,0.761316,13.573,175.927,23.865
image_000044_20250813_194703_822.jpg,98,0.586931,0.306348,-0.179654,-0.021502,0.798947,-14.163,-175.250,29.270
image_000044_20250813_194703_822.jpg,62,0.539017,0.271023,0.099189,-0.043192,0.801873,155.820,-10.782,-2.557
image_000044_20250813_194703_822.jpg,40,0.694241,0.349295,-0.104642,-0.106267,0.813188,-14.341,-174.247,33.548
image_000015_20250813_194634_335.jpg,124,0.212546,0.131162,-0.110055,0.130249,0.672059,111.868,-128.768,34.801
image_000015_20250813_194634_335.jpg,98,0.222168,0.113815,-0.160713,-0.032495,0.683264,10.733,166.142,-18.345
image_000015_20250813_194634_335.jpg,23,0.379138,0.217766,0.009199,0.067739,0.708036,-12.650,-167.395,2.683
image_000015_20250813_194634_335.jpg,40,0.528804,0.278470,-0.088957,-0.120344,0.711223,10.234,164.085,-14.267
image_000015_20250813_194634_335.jpg,203,0.448693,0.228029,0.164829,0.113459,0.745662,10.519,167.899,-19.648
image_000015_20250813_194634_335.jpg,62,2.299741,2.194106,0.107982,-0.044353,0.707512,154.462,-5.773,19.476
image_000019_20250813_194638_371.jpg,124,0.413198,0.209610,-0.049157,0.136438,0.718227,122.071,-122.855,40.525
image_000019_20250813_194638_371.jpg,98,0.530307,0.266520,-0.085814,-0.026961,0.758286,-0.470,159.232,-30.803
image_000019_20250813_194638_371.jpg,23,0.249754,0.208203,0.074861,0.095740,0.776954,1.137,161.942,-29.359
image_000019_20250813_194638_371.jpg,203,0.204660,0.110807,0.223074,0.162320,0.809045,0.636,162.405,-31.240
image_000019_20250813_194638_371.jpg,40,0.302148,0.169494,-0.005835,-0.098841,0.810836,-1.306,160.630,-30.920
image_000019_20250813_194638_371.jpg,62,2.380215,2.308967,0.207053,0.007049,0.941585,-169.981,3.270,37.190
image_000038_20250813_194657_718.jpg,203,0.623556,0.315399,0.190123,0.127768,0.696940,-3.801,-175.795,18.965
image_000038_20250813_194657_718.jpg,124,0.794600,0.399775,-0.091586,0.134016,0.713517,-117.992,118.343,-27.446
image_000038_20250813_194657_718.jpg,23,13.321286,12.722727,0.026100,0.053895,0.482177,-3.906,-136.470,-55.294
image_000038_20250813_194657_718.jpg,62,0.639420,0.349049,0.155895,-0.031893,0.712675,174.883,-7.309,4.069
image_000038_20250813_194657_718.jpg,40,0.171342,0.091722,-0.043458,-0.118735,0.744055,-5.113,-177.304,12.225
image_000037_20250813_194656_682.jpg,203,1.012942,0.696813,0.184693,0.127369,0.653366,-3.831,-173.047,-1.861
image_000037_20250813_194656_682.jpg,62,0.467178,0.298877,0.160118,-0.031354,0.694585,168.828,-2.385,-12.026
image_000037_20250813_194656_682.jpg,23,0.370055,0.246656,0.040915,0.076545,0.697309,-3.461,-161.837,12.788
image_000037_20250813_194656_682.jpg,124,0.220021,0.117455,-0.086768,0.136156,0.730607,113.266,-117.122,-3.086
image_000037_20250813_194656_682.jpg,40,0.476801,0.315121,-0.033545,-0.117368,0.737601,-3.905,-167.137,10.503
image_000037_20250813_194656_682.jpg,98,1.333592,1.280272,-0.112838,-0.032915,0.729620,-4.170,-163.267,5.985
image_000030_20250813_194649_510.jpg,124,0.409931,0.214718,-0.064063,0.120858,0.625056,-127.705,123.972,-5.920
