Pose Estimation Results
Timestamp,2025-08-13 21:44:29
Global RMSE (pixels),0.238772
Global Mean Error (pixels),0.207755
Total Markers,318

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000014_20250813_194633_299.jpg,98,0.175211,0.173590,-0.162579,-0.029885,0.639299,13.319,175.422,-13.640
image_000014_20250813_194633_299.jpg,124,0.198544,0.195453,-0.110762,0.133478,0.652153,114.995,-137.193,5.309
image_000014_20250813_194633_299.jpg,40,0.303367,0.300489,-0.090898,-0.120362,0.656042,11.310,174.217,-8.037
image_000014_20250813_194633_299.jpg,23,0.162088,0.159255,0.007692,0.064450,0.683357,-13.877,-167.731,13.224
image_000014_20250813_194633_299.jpg,203,0.268582,0.267790,0.162667,0.102934,0.717160,-15.967,-191.718,2.215
image_000014_20250813_194633_299.jpg,62,0.311807,0.310609,0.110806,-0.053645,0.705787,173.697,-13.160,21.883
image_000011_20250813_194630_199.jpg,124,0.064463,0.064384,-0.033258,0.145318,0.694783,107.951,-115.272,43.086
image_000011_20250813_194630_199.jpg,203,0.172322,0.172156,0.244819,0.152609,0.754517,5.851,163.524,-40.871
image_000011_20250813_194630_199.jpg,23,0.329177,0.328644,0.090657,0.100285,0.744529,-11.271,-155.660,-18.768
image_000011_20250813_194630_199.jpg,98,0.133880,0.133600,-0.078116,-0.003884,0.768814,5.041,164.099,-40.393
image_000011_20250813_194630_199.jpg,62,0.069308,0.069265,0.204607,0.009350,0.827720,151.260,-4.322,9.830
image_000011_20250813_194630_199.jpg,40,0.157528,0.157440,-0.000022,-0.078294,0.830503,3.972,165.170,-38.613
image_000013_20250813_194632_267.jpg,124,0.332755,0.327303,-0.123247,0.139938,0.647823,-119.389,129.770,-7.938
image_000013_20250813_194632_267.jpg,98,0.279234,0.278346,-0.174349,-0.019679,0.691706,8.186,167.234,-25.928
image_000013_20250813_194632_267.jpg,23,0.068945,0.068377,-0.002521,0.083295,0.691096,8.667,166.620,-30.468
image_000013_20250813_194632_267.jpg,203,0.159781,0.159382,0.150765,0.131355,0.713341,9.097,166.048,-27.938
image_000013_20250813_194632_267.jpg,40,0.116419,0.116101,-0.100744,-0.102636,0.738492,8.350,165.085,-21.812
image_000013_20250813_194632_267.jpg,62,0.238891,0.238573,0.104190,-0.020929,0.754127,161.330,-8.678,17.458
