Pose Estimation Results
Timestamp,2025-08-13 22:25:52
Global RMSE (pixels),0.240650
Global Mean Error (pixels),0.211501
Total Markers,318

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000014_20250813_194633_299.jpg,98,0.178858,0.178839,-0.162659,-0.029894,0.639606,13.261,175.568,-13.114
image_000014_20250813_194633_299.jpg,124,0.204990,0.204986,-0.110769,0.133505,0.652252,115.572,-137.650,5.453
image_000014_20250813_194633_299.jpg,40,0.309882,0.309852,-0.090771,-0.120192,0.655075,11.319,174.601,-8.833
image_000014_20250813_194633_299.jpg,23,0.167758,0.167744,0.007679,0.064411,0.682879,-13.868,-167.256,12.578
image_000014_20250813_194633_299.jpg,203,0.270530,0.270522,0.162522,0.102843,0.716512,13.903,166.844,-1.701
image_000014_20250813_194633_299.jpg,62,0.314135,0.314126,0.110914,-0.053699,0.706496,173.765,-13.151,21.454
image_000011_20250813_194630_199.jpg,124,0.064607,0.064543,-0.033259,0.145323,0.694805,107.941,-115.258,43.059
image_000011_20250813_194630_199.jpg,203,0.172641,0.172613,0.244762,0.152572,0.754340,5.845,163.511,-40.946
image_000011_20250813_194630_199.jpg,23,0.330367,0.330242,0.090612,0.100236,0.744149,-11.261,-155.722,-19.011
image_000011_20250813_194630_199.jpg,98,0.134419,0.134391,-0.078098,-0.003884,0.768633,5.036,164.133,-40.493
image_000011_20250813_194630_199.jpg,62,0.069372,0.069361,0.204583,0.009349,0.827624,151.244,-4.322,9.834
image_000011_20250813_194630_199.jpg,40,0.157648,0.157590,-0.000022,-0.078291,0.830466,3.961,165.192,-38.650
image_000013_20250813_194632_267.jpg,124,0.343572,0.343569,-0.123133,0.139787,0.647116,-119.868,130.573,-6.673
image_000013_20250813_194632_267.jpg,98,0.280612,0.280548,-0.174354,-0.019679,0.691714,8.177,167.489,-25.910
image_000013_20250813_194632_267.jpg,23,0.070069,0.070057,-0.002523,0.083292,0.691083,8.677,166.705,-30.603
image_000013_20250813_194632_267.jpg,203,0.160672,0.160627,0.150696,0.131293,0.713008,9.080,165.926,-27.911
image_000013_20250813_194632_267.jpg,40,0.117010,0.116983,-0.100778,-0.102670,0.738745,8.345,165.091,-21.673
image_000013_20250813_194632_267.jpg,62,0.239603,0.239589,0.104123,-0.020916,0.753636,161.207,-8.661,17.523
image_000052_20250813_194712_062.jpg,124,0.145909,0.145809,-0.082667,0.144664,0.782980,103.290,-113.236,40.042
image_000052_20250813_194712_062.jpg,203,0.155102,0.155083,0.196993,0.137818,0.816540,7.320,172.029,-49.901
image_000052_20250813_194712_062.jpg,23,0.116473,0.116457,0.042217,0.092798,0.816986,7.542,168.695,-49.413
image_000052_20250813_194712_062.jpg,98,0.245636,0.245634,-0.129877,-0.002090,0.864150,6.587,169.446,-42.366
image_000052_20250813_194712_062.jpg,62,0.061546,0.061540,0.157804,-0.002763,0.903793,156.923,-7.434,5.006
image_000052_20250813_194712_062.jpg,40,0.201301,0.201243,-0.050674,-0.080525,0.910780,6.124,170.790,-34.555
image_000047_20250813_194706_922.jpg,40,0.238230,0.238175,-0.057710,-0.153770,0.738444,4.860,174.050,32.858
image_000047_20250813_194706_922.jpg,98,0.113359,0.113359,-0.138660,-0.066985,0.735741,-5.953,-178.758,-12.511
image_000047_20250813_194706_922.jpg,124,0.245721,0.245651,-0.098860,0.099728,0.758758,116.216,-127.238,38.901
image_000047_20250813_194706_922.jpg,62,0.348788,0.348761,0.145991,-0.072227,0.779279,-175.605,6.507,0.743
image_000047_20250813_194706_922.jpg,23,0.146580,0.146580,0.027923,0.039708,0.766417,5.653,177.448,13.027
